employee_id,full_name,target_role,target_grade,rank,event_id,event_title,event_type,format,duration_hours,next_session,skills_covered,critical_skills_covered,useful_gain,ranking_score
E0001,Marat Yessenov,Backend Engineer,Middle,1,EV_005,System Design Fundamentals,course,online,16,2026-11-23,System Design; API Design,1,2.0,120.125
E0001,Marat Yessenov,Backend Engineer,Middle,2,EV_009,Cloud Certification Prep,certification,self_paced,40,self_paced,Cloud Platforms; CI/CD,0,2.0,20.05
E0001,Marat Yessenov,Backend Engineer,Middle,3,EV_036,Public Speaking Club,meetup,offline,2,2026-10-08,Public Speaking,0,1.0,10.5
E0001,Marat Yessenov,Backend Engineer,Middle,4,EV_037,Mentor Track,mentoring,online,12,2026-11-19,Mentoring,0,1.0,10.0833
E0002,Arman Zhaksylykov,Backend Engineer,Senior,1,EV_038,Leadership Foundations,course,online,16,2026-10-08,Leadership; Stakeholder Management,0,2.0,20.125
E0002,Arman Zhaksylykov,Backend Engineer,Senior,2,EV_036,Public Speaking Club,meetup,offline,2,2026-10-08,Public Speaking,0,1.0,10.5
E0002,Arman Zhaksylykov,Backend Engineer,Senior,3,EV_011,Secure Coding Workshop,workshop,offline,6,2026-11-23,Application Security,0,1.0,10.1667
E0003,Symbat Omarova,Customer Support Specialist,Senior,1,EV_034,Handling Difficult Conversations,workshop,online,4,2026-10-16,Conflict Resolution,0,1.0,10.25
E0003,Symbat Omarova,Customer Support Specialist,Senior,2,EV_038,Leadership Foundations,course,online,16,2026-10-08,Conflict Resolution,0,1.0,10.0625
E0004,Nikita Smirnov,Product Manager,Middle,1,EV_026,Product Discovery Lab,workshop,offline,8,2026-11-10,Product Discovery; UX Research; Requirements Writing,1,3.0,130.375
E0004,Nikita Smirnov,Product Manager,Middle,2,EV_021,A/B Testing Workshop,workshop,online,6,2026-11-19,Product Analytics,1,1.0,110.1667
E0004,Nikita Smirnov,Product Manager,Middle,3,EV_027,Roadmapping & Agile Planning,workshop,online,6,2026-10-22,Roadmapping & Prioritization; Agile Practices; Project Management; Stakeholder Management,0,4.0,40.6667
E0004,Nikita Smirnov,Product Manager,Middle,4,EV_036,Public Speaking Club,meetup,offline,2,2026-10-08,Public Speaking,0,1.0,10.5
E0005,Togzhan Yessenova,Backend Engineer,Senior,1,EV_007,Architecture Review Circle,mentoring,online,8,2026-10-23,System Design,1,1.0,110.125
E0005,Togzhan Yessenova,Backend Engineer,Senior,2,EV_036,Public Speaking Club,meetup,offline,2,2026-10-08,Public Speaking,0,1.0,10.5
E0005,Togzhan Yessenova,Backend Engineer,Senior,3,EV_040,Structured Problem Solving,workshop,offline,4,2026-11-09,Problem Solving,0,1.0,10.25
E0005,Togzhan Yessenova,Backend Engineer,Senior,4,EV_038,Leadership Foundations,course,online,16,2026-10-08,Leadership,0,1.0,10.0625
E0006,Arman Sadykov,Frontend Engineer,Lead,1,EV_038,Leadership Foundations,course,online,16,2026-10-08,Leadership; Stakeholder Management,1,2.0,120.125
E0006,Arman Sadykov,Frontend Engineer,Lead,2,EV_036,Public Speaking Club,meetup,offline,2,2026-10-08,Public Speaking,0,1.0,10.5
E0007,Kanat Tulegenov,Backend Engineer,Lead,1,EV_006,Designing High-Load Systems,workshop,offline,12,2026-10-07,System Design; API Design; Observability,1,3.0,130.25
E0007,Kanat Tulegenov,Backend Engineer,Lead,2,EV_037,Mentor Track,mentoring,online,12,2026-11-19,Mentoring,1,1.0,110.0833
E0008,Botagoz Sadykova,Frontend Engineer,Senior,1,EV_009,Cloud Certification Prep,certification,self_paced,40,self_paced,CI/CD,0,1.0,10.025
E0009,Anna Novikova,QA Engineer,Junior,1,EV_008,Business Writing & Documentation,workshop,online,4,2026-10-12,Written Communication,0,1.0,10.25
E0009,Anna Novikova,QA Engineer,Junior,2,EV_019,API & Performance Testing Workshop,workshop,offline,8,2026-10-16,API Testing,0,1.0,10.125
E0010,Aruzhan Seitkali,QA Engineer,Middle,1,EV_019,API & Performance Testing Workshop,workshop,offline,8,2026-10-16,API Testing; Load Testing,1,2.0,120.25
E0010,Aruzhan Seitkali,QA Engineer,Middle,2,EV_009,Cloud Certification Prep,certification,self_paced,40,self_paced,CI/CD,0,1.0,10.025
E0012,Yerzhan Tulegenov,Sales Manager,Senior,1,EV_038,Leadership Foundations,course,online,16,2026-10-08,Leadership; Stakeholder Management,0,2.0,20.125
E0012,Yerzhan Tulegenov,Sales Manager,Senior,2,EV_036,Public Speaking Club,meetup,offline,2,2026-10-08,Public Speaking,0,1.0,10.5
E0013,Rustem Ismailov,Data Analyst,Senior,1,EV_023,Data Storytelling & Visualization,workshop,offline,6,2026-10-21,Data Visualization; Public Speaking,0,2.0,20.3333
E0013,Rustem Ismailov,Data Analyst,Senior,2,EV_036,Public Speaking Club,meetup,offline,2,2026-10-08,Public Speaking,0,1.0,10.5
E0013,Rustem Ismailov,Data Analyst,Senior,3,EV_025,Dimensional Data Modeling,course,online,10,2026-10-13,Data Modeling,0,1.0,10.1
E0014,Yulia Kuznetsova,Product Manager,Lead,1,EV_040,Structured Problem Solving,workshop,offline,4,2026-11-09,Critical Thinking,0,1.0,10.25
E0014,Yulia Kuznetsova,Product Manager,Lead,2,EV_037,Mentor Track,mentoring,online,12,2026-11-19,Mentoring,0,1.0,10.0833
E0014,Yulia Kuznetsova,Product Manager,Lead,3,EV_038,Leadership Foundations,course,online,16,2026-10-08,Stakeholder Management,0,1.0,10.0625
E0015,Zhanna Akhmetova,Frontend Engineer,Senior,1,EV_015,Web Performance Fundamentals,course,self_paced,6,self_paced,Web Performance,1,1.0,110.1667
E0015,Zhanna Akhmetova,Frontend Engineer,Senior,2,EV_038,Leadership Foundations,course,online,16,2026-10-08,Leadership; Stakeholder Management,0,2.0,20.125
E0015,Zhanna Akhmetova,Frontend Engineer,Senior,3,EV_017,React Patterns & State Management,course,online,16,2026-10-16,React,0,1.0,10.0625
E0016,Assel Omarova,Backend Engineer,Middle,1,EV_005,System Design Fundamentals,course,online,16,2026-11-23,System Design; API Design,1,2.0,120.125
E0016,Assel Omarova,Backend Engineer,Middle,2,EV_012,Advanced Python,course,self_paced,24,self_paced,Python,1,1.0,110.0417
E0016,Assel Omarova,Backend Engineer,Middle,3,EV_040,Structured Problem Solving,workshop,offline,4,2026-11-09,Problem Solving; Teamwork,0,2.0,20.5
E0016,Assel Omarova,Backend Engineer,Middle,4,EV_009,Cloud Certification Prep,certification,self_paced,40,self_paced,Cloud Platforms; CI/CD,0,2.0,20.05
E0016,Assel Omarova,Backend Engineer,Middle,5,EV_008,Business Writing & Documentation,workshop,online,4,2026-10-12,Communication,0,1.0,10.25
E0017,Kamila Bekova,Product Manager,Lead,1,EV_036,Public Speaking Club,meetup,offline,2,2026-10-08,Public Speaking,0,1.0,10.5
E0018,Yerzhan Seitkali,Customer Support Specialist,Middle,1,EV_037,Mentor Track,mentoring,online,12,2026-11-19,Mentoring,0,1.0,10.0833
E0019,Anna Pavlova,Frontend Engineer,Middle,1,EV_036,Public Speaking Club,meetup,offline,2,2026-10-08,Public Speaking,0,1.0,10.5
E0019,Anna Pavlova,Frontend Engineer,Middle,2,EV_016,Accessible Interfaces,workshop,online,4,2026-10-06,HTML & CSS,0,1.0,10.25
E0019,Anna Pavlova,Frontend Engineer,Middle,3,EV_037,Mentor Track,mentoring,online,12,2026-11-19,Mentoring,0,1.0,10.0833
E0020,Rustem Mukanov,Data Analyst,Junior,1,EV_022,SQL & BI for Analytics,course,online,12,2026-10-20,SQL; BI Tools,1,2.0,120.1667
E0020,Rustem Mukanov,Data Analyst,Junior,2,EV_023,Data Storytelling & Visualization,workshop,offline,6,2026-10-21,Data Visualization,0,1.0,10.1667
E0020,Rustem Mukanov,Data Analyst,Junior,3,EV_020,Applied Statistics for Analysts,course,self_paced,40,self_paced,Statistics,0,1.0,10.025
E0022,Ksenia Morozova,Data Analyst,Middle,1,EV_025,Dimensional Data Modeling,course,online,10,2026-10-13,Data Modeling,0,1.0,10.1
E0022,Ksenia Morozova,Data Analyst,Middle,2,EV_037,Mentor Track,mentoring,online,12,2026-11-19,Mentoring,0,1.0,10.0833
E0023,Zhanna Baimukhanova,Backend Engineer,Middle,1,EV_009,Cloud Certification Prep,certification,self_paced,40,self_paced,Cloud Platforms; CI/CD,0,2.0,20.05
E0023,Zhanna Baimukhanova,Backend Engineer,Middle,2,EV_037,Mentor Track,mentoring,online,12,2026-11-19,Mentoring,0,1.0,10.0833
E0023,Zhanna Baimukhanova,Backend Engineer,Middle,3,EV_010,Kubernetes in Practice,course,online,20,2026-10-16,CI/CD,0,1.0,10.05
E0024,Pavel Kuznetsov,Customer Support Specialist,Middle,1,EV_035,Technical Troubleshooting Academy,course,online,16,2026-10-09,Technical Troubleshooting; Product Knowledge,1,2.0,120.125
E0024,Pavel Kuznetsov,Customer Support Specialist,Middle,2,EV_039,Time & Priority Management,workshop,online,3,2026-11-25,Time Management; Adaptability,0,2.0,20.6667
E0024,Pavel Kuznetsov,Customer Support Specialist,Middle,3,EV_008,Business Writing & Documentation,workshop,online,4,2026-10-12,Written Communication; Communication,0,2.0,20.5
E0024,Pavel Kuznetsov,Customer Support Specialist,Middle,4,EV_037,Mentor Track,mentoring,online,12,2026-11-19,Mentoring; Feedback,0,2.0,20.1667
E0024,Pavel Kuznetsov,Customer Support Specialist,Middle,5,EV_040,Structured Problem Solving,workshop,offline,4,2026-11-09,Problem Solving,0,1.0,10.25
E0025,Maxim Ivanov,Data Analyst,Junior,1,EV_022,SQL & BI for Analytics,course,online,12,2026-10-20,SQL,1,1.0,110.0833
E0027,Timur Tulegenov,HR Business Partner,Middle,1,EV_028,Labor Law & Employee Relations,workshop,online,4,2026-10-12,Labor Law,1,1.0,110.25
E0027,Timur Tulegenov,HR Business Partner,Middle,2,EV_036,Public Speaking Club,meetup,offline,2,2026-10-08,Public Speaking,0,1.0,10.5
E0028,Akmaral Ismailova,Backend Engineer,Middle,1,EV_010,Kubernetes in Practice,course,online,20,2026-10-16,Containers & Orchestration,0,1.0,10.05
E0028,Akmaral Ismailova,Backend Engineer,Middle,2,EV_009,Cloud Certification Prep,certification,self_paced,40,self_paced,Cloud Platforms,0,1.0,10.025
E0030,Nurlan Utepov,Customer Support Specialist,Senior,1,EV_034,Handling Difficult Conversations,workshop,online,4,2026-10-16,Conflict Resolution; Customer Service,0,2.0,20.5
E0030,Nurlan Utepov,Customer Support Specialist,Senior,2,EV_038,Leadership Foundations,course,online,16,2026-10-08,Leadership; Conflict Resolution,0,2.0,20.125
E0030,Nurlan Utepov,Customer Support Specialist,Senior,3,EV_039,Time & Priority Management,workshop,online,3,2026-11-25,Time Management,0,1.0,10.3333
E0031,Zhanna Mukanova,QA Engineer,Middle,1,EV_019,API & Performance Testing Workshop,workshop,offline,8,2026-10-16,API Testing; Load Testing,1,2.0,120.25
E0031,Zhanna Mukanova,QA Engineer,Middle,2,EV_040,Structured Problem Solving,workshop,offline,4,2026-11-09,Teamwork,0,1.0,10.25
E0031,Zhanna Mukanova,QA Engineer,Middle,3,EV_009,Cloud Certification Prep,certification,self_paced,40,self_paced,CI/CD,0,1.0,10.025
E0032,Daria Novikova,Product Manager,Junior,1,EV_026,Product Discovery Lab,workshop,offline,8,2026-11-10,Product Discovery; UX Research; Requirements Writing,1,3.0,130.375
E0032,Daria Novikova,Product Manager,Junior,2,EV_027,Roadmapping & Agile Planning,workshop,online,6,2026-10-22,Roadmapping & Prioritization; Agile Practices; Project Management; Stakeholder Management,0,4.0,40.6667
E0032,Daria Novikova,Product Manager,Junior,3,EV_036,Public Speaking Club,meetup,offline,2,2026-10-08,Public Speaking,0,1.0,10.5
E0032,Daria Novikova,Product Manager,Junior,4,EV_023,Data Storytelling & Visualization,workshop,offline,6,2026-10-21,Public Speaking,0,1.0,10.1667
E0033,Madina Tulegenova,Data Analyst,Senior,1,EV_021,A/B Testing Workshop,workshop,online,6,2026-11-19,A/B Testing; Product Analytics,1,2.0,120.3333
E0033,Madina Tulegenova,Data Analyst,Senior,2,EV_023,Data Storytelling & Visualization,workshop,offline,6,2026-10-21,Data Visualization; Public Speaking,0,2.0,20.3333
E0033,Madina Tulegenova,Data Analyst,Senior,3,EV_038,Leadership Foundations,course,online,16,2026-10-08,Leadership; Stakeholder Management,0,2.0,20.125
E0033,Madina Tulegenova,Data Analyst,Senior,4,EV_036,Public Speaking Club,meetup,offline,2,2026-10-08,Public Speaking,0,1.0,10.5
E0033,Madina Tulegenova,Data Analyst,Senior,5,EV_040,Structured Problem Solving,workshop,offline,4,2026-11-09,Critical Thinking,0,1.0,10.25
E0034,Aruzhan Kassymova,Data Analyst,Middle,1,EV_036,Public Speaking Club,meetup,offline,2,2026-10-08,Public Speaking,0,1.0,10.5
E0034,Aruzhan Kassymova,Data Analyst,Middle,2,EV_025,Dimensional Data Modeling,course,online,10,2026-10-13,Data Modeling,0,1.0,10.1
E0036,Aigerim Baimukhanova,Product Manager,Junior,1,EV_026,Product Discovery Lab,workshop,offline,8,2026-11-10,Product Discovery; UX Research; Requirements Writing,1,3.0,130.375
E0036,Aigerim Baimukhanova,Product Manager,Junior,2,EV_027,Roadmapping & Agile Planning,workshop,online,6,2026-10-22,Roadmapping & Prioritization; Agile Practices; Project Management,0,3.0,30.5
E0036,Aigerim Baimukhanova,Product Manager,Junior,3,EV_008,Business Writing & Documentation,workshop,online,4,2026-10-12,Communication,0,1.0,10.25
E0037,Zarina Sarsenbayeva,Frontend Engineer,Middle,1,EV_013,TypeScript in Depth,course,online,12,2026-10-21,TypeScript; JavaScript,1,2.0,120.1667
E0037,Zarina Sarsenbayeva,Frontend Engineer,Middle,2,EV_040,Structured Problem Solving,workshop,offline,4,2026-11-09,Problem Solving; Teamwork,0,2.0,20.5
E0037,Zarina Sarsenbayeva,Frontend Engineer,Middle,3,EV_015,Web Performance Fundamentals,course,self_paced,6,self_paced,Web Performance,0,1.0,10.1667
E0037,Zarina Sarsenbayeva,Frontend Engineer,Middle,4,EV_009,Cloud Certification Prep,certification,self_paced,40,self_paced,CI/CD,0,1.0,10.025
E0039,Pavel Petrov,Data Analyst,Senior,1,EV_021,A/B Testing Workshop,workshop,online,6,2026-11-19,A/B Testing; Product Analytics,1,2.0,120.3333
E0039,Pavel Petrov,Data Analyst,Senior,2,EV_023,Data Storytelling & Visualization,workshop,offline,6,2026-10-21,Data Visualization; Public Speaking,0,2.0,20.3333
